,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
0,2,40,2280.0,228.0,912.0,228.0,912.0,9,10.23,10.23,10.23,13.7566668659,0.588395156351,7.776684854510001,5.2332190892,0.07486722588269999,7.24866457923,6.36339168486
1,4,40,2280.0,456.0,684.0,456.0,684.0,9,10.23,10.23,10.23,13.861843443,0.612269911276,7.87767113609,5.18253526706,0.0741421354371,6.734534844290001,5.926212544480001
2,8,50,2280.0,570.0,570.0,570.0,570.0,9,13.53,13.53,13.53,14.230825495,0.56414558199,8.68881598544,5.57556411835,0.0797648657846,8.64226192533,6.9646328666
3,76,40,2280.0,456.0,684.0,456.0,684.0,12,9.24,9.24,9.24,15.1060386859,0.647491762206,8.8050724458,5.402864106719999,0.07729419322919999,7.064224594,6.58257968673
4,74,40,2280.0,228.0,912.0,228.0,912.0,12,9.24,9.24,9.24,15.442547096300002,0.639684245405,9.10803816431,5.603269550299999,0.08016122389550001,7.92472845506,7.22899774373
5,72,40,2280.0,570.0,570.0,570.0,570.0,12,9.24,9.24,9.24,15.6948589183,0.670667029142,9.14782253955,5.53803654356,0.0792279906089,7.10053252138,6.761252279190001
6,156,50,2280.0,456.0,684.0,456.0,684.0,15,11.55,11.55,11.55,16.7153551927,0.6401706421710001,10.4327112294,5.82283616771,0.0833023772204,9.14957689564,8.08519935366
7,146,40,2280.0,228.0,912.0,228.0,912.0,15,8.25,8.25,8.25,17.6284813379,0.700372067498,10.7450372168,6.02374399023,0.08617659499610002,9.0452927253,8.64057637205
8,144,40,2280.0,570.0,570.0,570.0,570.0,15,8.25,8.25,8.25,17.7103467729,0.733118092543,10.6081077812,6.01179222909,0.0860056112888,8.10722796104,8.143080461919999
9,220,40,3800.0,760.0,1140.0,760.0,1140.0,9,10.23,10.23,10.23,18.9740267436,0.782317550206,10.795945591099999,9.771258938089998,0.13978911213300002,6.59106230882,13.881432822
10,6,40,2280.0,228.0,456.0,228.0,1368.0,9,10.23,10.23,10.23,20.7850816602,0.8426210865610001,11.862905525699999,6.9031948108800005,0.0987581518008,14.586781675,10.079375929400001
11,240,70,3800.0,950.0,950.0,950.0,950.0,9,20.13,20.13,20.13,21.49774233,0.63099016109,14.539448913800001,10.7072679487,0.15317979898,13.457487371600001,19.607517521800002
12,300,50,3800.0,760.0,1140.0,760.0,1140.0,12,12.54,12.54,12.54,23.493979509499997,0.8379535802399999,14.3864920329,10.9532649348,0.156699069168,11.7019180255,18.0366305239
13,320,80,3800.0,950.0,950.0,950.0,950.0,12,22.44,22.44,22.44,24.0523547506,0.654507436793,16.9075433906,11.4444520656,0.163726066747,16.1296733924,22.182133392199997
14,102,70,2280.0,228.0,456.0,228.0,1368.0,12,19.14,19.14,19.14,24.490952113200002,0.7511858011660001,16.341625104400002,7.601330761439999,0.10874579057900001,18.0779754729,13.276893304300001
15,372,50,3800.0,760.0,1140.0,760.0,1140.0,15,11.55,11.55,11.55,24.8596641889,0.8724845245049999,15.551971310799999,11.3165935027,0.161896902757,10.4963392864,19.3074607072
16,384,70,3800.0,950.0,950.0,950.0,950.0,15,18.15,18.15,18.15,26.730659733400003,0.753705262376,18.5404881891,12.339410909000001,0.17652948367600002,17.5166196697,25.2215731888
17,174,70,2280.0,228.0,456.0,228.0,1368.0,15,18.15,18.15,18.15,35.1124140856,1.0550645788600002,23.96118961,9.77116133242,0.139787715771,27.3906260596,19.4237377104
18,468,80,5320.0,1064.0,1596.0,1064.0,1596.0,9,23.43,23.43,23.43,37.4753823255,1.0410712079200002,25.1059527783,19.1496636607,0.273957992285,18.0458779812,40.009620655300004
19,218,40,3800.0,380.0,1520.0,380.0,1520.0,9,10.23,10.23,10.23,40.234614895300005,1.55866192604,22.6544058371,17.4366080414,0.249450758818,27.7664225212,33.236588682800004
20,306,60,3800.0,380.0,1520.0,380.0,1520.0,12,15.84,15.84,15.84,40.7548270669,1.29484423966,26.558675609899996,15.122555535899998,0.21634557276,24.8488529666,31.3932670891
21,464,80,5320.0,1330.0,1330.0,1330.0,1330.0,9,23.43,23.43,23.43,46.1319819427,1.09566792237,32.817782939000004,20.469253031300003,0.29283623793,30.5932803586,51.5047794225
22,528,70,5320.0,1330.0,1330.0,1330.0,1330.0,12,19.14,19.14,19.14,47.2348723535,1.1870338331399999,33.3164740981,20.7042227446,0.29619775028,32.7435240115,51.29450212770001
23,600,70,5320.0,1330.0,1330.0,1330.0,1330.0,15,18.15,18.15,18.15,52.17942527939999,1.29125694515,36.6031633834,21.6456543758,0.309666013961,34.8158590512,54.4883075282
24,662,50,6840.0,684.0,1368.0,684.0,4104.0,9,13.53,13.53,13.53,52.49764133520001,1.83331267882,31.1291729706,21.4182753779,0.306413095535,30.4359314072,45.224911839099995
25,438,40,5320.0,532.0,1064.0,532.0,3192.0,9,10.23,10.23,10.23,52.880169999799996,2.13722500406,28.9429818146,20.1576032683,0.28837772916,34.011907545999996,40.2920884196
26,378,60,3800.0,380.0,1520.0,380.0,1520.0,15,14.85,14.85,14.85,54.271559015,1.6739960177000002,36.3032020677,18.304348619000002,0.26186478711,34.4872763109,40.3978604808
27,750,70,6840.0,684.0,1368.0,684.0,4104.0,12,19.14,19.14,19.14,56.5278865909,1.6673954508500002,37.8384190131,20.7727917043,0.297178708216,37.5718337086,48.173035436099994
28,222,40,3800.0,380.0,760.0,380.0,2280.0,9,10.23,10.23,10.23,57.975365858900005,2.29833342993,32.479833305599996,18.354107823299998,0.262576649833,40.8960923954,37.5088757196
29,518,50,5320.0,532.0,1064.0,532.0,3192.0,12,12.54,12.54,12.54,58.07899735229999,2.09704201945,34.9167176591,20.2440823863,0.289614912536,37.8113082783,41.8312638052
30,630,100,5320.0,532.0,1064.0,532.0,3192.0,15,28.05,28.05,28.05,59.2411161197,1.36543163291,42.0357332333,18.4946357711,0.264587063965,42.1668302297,46.0728475701
31,60,70,6840.0,684.0,1368.0,684.0,4104.0,15,18.15,18.15,18.15,61.4307727632,1.7330344603,41.8751545713,21.2805735906,0.304443112885,42.5063366299,50.0891664175
32,294,40,3800.0,380.0,760.0,380.0,2280.0,12,9.24,9.24,9.24,61.433817625799996,2.27210541056,36.5359069223,17.5706985179,0.251369077509,42.9807555187,37.9371347437
33,366,40,3800.0,380.0,760.0,380.0,2280.0,15,8.25,8.25,8.25,65.6874691004,2.4284634074900002,40.5557210129,18.0801003193,0.258656656929,47.8416305587,38.5870835587
34,524,60,5320.0,1064.0,1596.0,1064.0,1596.0,12,15.84,15.84,15.84,81.0833046222,2.5507105676,51.4822139539,31.5266340203,0.45102480715800003,45.8600928387,74.8865243642
35,658,50,6840.0,684.0,2736.0,684.0,2736.0,9,13.53,13.53,13.53,82.0063946911,2.96260759378,48.8406515504,31.4468759392,0.449883775954,49.8864789055,71.9170209875
36,450,60,5320.0,532.0,2128.0,532.0,2128.0,9,16.83,16.83,16.83,83.23320677939999,2.64384465194,53.4212141632,27.9454797946,0.399792271739,49.3193295868,68.3115671066
37,628,100,5320.0,1064.0,1596.0,1064.0,1596.0,15,28.05,28.05,28.05,88.32211803969999,2.22086474241,62.5148057754,30.533150428000003,0.436811880229,55.9818216333,76.97579230939999
38,562,110,5320.0,532.0,2128.0,532.0,2128.0,12,32.34,32.34,32.34,90.02927350120001,2.0684177905400003,63.903806078500004,27.176920428400003,0.388797144899,63.3910760387,72.1704337592
39,664,60,6840.0,1710.0,1710.0,1710.0,1710.0,9,16.83,16.83,16.83,90.2946682334,2.7348322735500004,58.366191120100005,35.609588078,0.509436167067,38.1123432495,89.23243445879999
40,730,50,6840.0,684.0,2736.0,684.0,2736.0,12,12.54,12.54,12.54,94.44891291809999,3.2688278497400005,57.876271950900005,32.2601304794,0.46151831873300003,59.3294810963,73.322438875
41,602,70,5320.0,532.0,2128.0,532.0,2128.0,15,18.15,18.15,18.15,94.9089962982,2.63142174473,64.1923744969,28.461575826,0.407175619828,66.4954824676,70.0858115243
42,80,100,6840.0,684.0,2736.0,684.0,2736.0,15,28.05,28.05,28.05,95.0401638498,2.33487030086,66.967855379,29.3333764555,0.41964773183799997,63.8163943583,75.9571618473
43,708,110,6840.0,1368.0,2052.0,1368.0,2052.0,9,33.33,33.33,33.33,102.968011443,2.39992520825,73.2761098191,34.6534296388,0.49575721944,45.873558574499995,95.766174031
44,94,120,6840.0,1710.0,1710.0,1710.0,1710.0,15,34.65,34.65,34.65,108.53266664700001,2.2812855133500003,79.6754726216,34.4822560128,0.49330838358900003,44.4758209247,98.14999675620001
45,18,110,6840.0,1368.0,2052.0,1368.0,2052.0,12,32.34,32.34,32.34,108.74057906700001,2.4664012095,76.9966542559,35.6718024639,0.510326215506,46.5995316171,99.04299307129999
46,6,100,6840.0,1710.0,1710.0,1710.0,1710.0,12,29.04,29.04,29.04,108.95749874,2.5104167311500003,77.6070034767,35.1923793154,0.503467515242,45.802027724,97.56424544020001
47,98,120,6840.0,1368.0,2052.0,1368.0,2052.0,15,34.65,34.65,34.65,114.956979751,2.5239805952400003,84.38907829899999,34.6819251361,0.496164880345,49.93108292,98.7887114621
